date,title,where,link
2019.12.04.,태양의 미스터리 '코로나 가열 현상' 유력한 원인 밝혔다,동아사이언스,http://www.dongascience.com/news/view/32756
2019.12.19.,"[메르스 코로나 바이러스 테마 오후 시황] 상승률 상위 종목, 케이피엠테크 +5.70%·진원생명과학 +3.52%·크린앤사이언스 +2.69% 등",공감신문,http://www.gokorea.kr/news/articleView.html?idxno=605179
2019.12.19.,"[13시 26분 메르스 코로나 바이러스 오후 테마시황] 케이피엠테크,진원생명과학 등이 상승세 주도",내외경제tv,http://nbntv.co.kr/news/view/777999
2019.12.19.,"[메르스 코로나 바이러스 테마 13시 현재 주식 시황] 상승률 상위 종목, 케이피엠테크 60원(+5.26%)·진원생명과학 105원(+4.11%)·크린앤사이언스 700원(+2.69%)상승",CCTV뉴스,http://www.cctvnews.co.kr/news/articleView.html?idxno=153419
2019.12.20.,'제23회 서산국화축제' 코로나19로 취소,아시아엔,http://kor.theasian.asia/archives/248655
2019.12.21.,[과학 이야기] 미스터리 ‘코로나 고온’ 원인은 ‘스피큘’,미주중앙일보,http://www.koreadaily.com/news/read.asp?art_id=7879132
2019.12.23.,"[메르스 코로나 바이러스 테마 오전 시황] 상승률 상위 종목, 한올바이오파마 +2.64%·제일바이오 +1.63%·바이오니아 +1.25% 등",공감신문,http://www.gokorea.kr/news/articleView.html?idxno=607416
2019.12.23.,"[메르스 코로나 바이러스 테마 09시 현재 주식 시황] 상승률 상위 종목, 한올바이오파마 1,050원(+3.08%)·바이오니아 130원(+2.02%)·에이프로젠제약 20원(+1.48%)상승",CCTV뉴스,http://www.cctvnews.co.kr/news/articleView.html?idxno=153774
2019.12.26.,"[09시 15분 메르스 코로나 바이러스 테마주 시황-오전] 바이오니아,진매트릭스 등이 상승세 견인중",내외경제tv,http://nbntv.co.kr/news/view/785715
2019.12.26.,"[메르스 코로나 바이러스 테마 오전 시황] 상승률 상위 종목, 오리엔트바이오 +2.84%·바이오제네틱스 +2.15%·진매트릭스 +1.97% 등",공감신문,http://www.gokorea.kr/news/articleView.html?idxno=611159
2019.12.30.,"[13시 28분 메르스 코로나 바이러스 오후의 테마종목] 케이피엠테크,고려제약 등이 주도...",내외경제tv,http://nbntv.co.kr/news/view/791921
